filename,class,truncated,occluded,observation angle,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rot_y,id
000000.txt,Pedestrian,0.0,0,-0.2,712.4,143.0,810.73,307.92,1.89,0.48,1.2,1.84,1.47,8.41,0.01,0.0
000001.txt,Truck,0.0,0,-1.57,599.41,156.4,629.75,189.25,2.85,2.63,12.34,0.47,1.49,69.44,-1.56,1.0
000001.txt,Car,0.0,0,1.85,387.63,181.54,423.81,203.12,1.67,1.87,3.69,-16.53,2.39,58.49,1.57,2.0
000001.txt,Cyclist,0.0,3,-1.65,676.6,163.95,688.98,193.93,1.86,0.6,2.02,4.59,1.32,45.84,-1.55,3.0
000002.txt,Misc,0.0,0,-1.82,804.79,167.34,995.43,327.94,1.63,1.48,2.37,3.23,1.59,8.55,-1.47,4.0
000002.txt,Car,0.0,0,-1.67,657.39,190.13,700.07,223.39,1.41,1.58,4.36,3.18,2.27,34.38,-1.58,5.0
000003.txt,Car,0.0,0,1.55,614.24,181.78,727.31,284.77,1.57,1.73,4.15,1.0,1.75,13.22,1.62,6.0
000004.txt,Car,0.0,0,1.96,280.38,185.1,344.9,215.59,1.49,1.76,4.01,-15.71,2.16,38.26,1.57,7.0
000004.txt,Car,0.0,0,1.88,365.14,184.54,406.11,205.2,1.38,1.8,3.41,-15.89,2.23,51.17,1.58,8.0
000005.txt,Pedestrian,0.0,0,1.94,330.06,178.74,360.77,238.64,1.87,0.96,0.65,-8.5,2.07,23.02,1.59,9.0
000006.txt,Car,0.0,2,-1.55,548.0,171.33,572.4,194.42,1.48,1.56,3.62,-2.72,0.82,48.22,-1.62,10.0
000006.txt,Car,0.0,0,-1.21,505.25,168.37,575.44,209.18,1.67,1.64,4.32,-2.61,1.13,31.73,-1.3,11.0
000006.txt,Car,0.0,0,0.15,49.7,185.65,227.42,246.96,1.5,1.62,3.88,-12.54,1.64,19.72,-0.42,12.0
000006.txt,Car,0.0,1,2.05,328.67,170.65,397.24,204.16,1.68,1.67,4.29,-12.66,1.13,38.44,1.73,13.0
000007.txt,Car,0.0,0,-1.56,564.62,174.59,616.43,224.74,1.61,1.66,3.2,-0.69,1.69,25.01,-1.59,14.0
000007.txt,Car,0.0,0,1.71,481.59,180.09,512.55,202.42,1.4,1.51,3.7,-7.43,1.88,47.55,1.55,15.0
000007.txt,Car,0.0,0,1.64,542.05,175.55,565.27,193.79,1.46,1.66,4.05,-4.71,1.71,60.52,1.56,16.0
000007.txt,Cyclist,0.0,0,1.89,330.6,176.09,355.61,213.6,1.72,0.5,1.95,-12.63,1.88,34.09,1.54,17.0
000008.txt,Car,0.88,3,-0.69,0.0,192.37,402.31,374.0,1.6,1.57,3.23,-2.7,1.74,3.68,-1.29,18.0
000008.txt,Car,0.0,1,2.04,334.85,178.94,624.5,372.04,1.57,1.5,3.68,-1.17,1.65,7.86,1.9,19.0
000008.txt,Car,0.34,3,-1.84,937.29,197.39,1241.0,374.0,1.39,1.44,3.08,3.81,1.64,6.15,-1.31,20.0
000008.txt,Car,0.0,1,-1.33,597.59,176.18,720.9,261.14,1.47,1.6,3.66,1.07,1.55,14.44,-1.25,21.0
000008.txt,Car,0.0,0,1.74,741.18,168.83,792.25,208.43,1.7,1.63,4.08,7.24,1.55,33.2,1.95,22.0
000008.txt,Car,0.0,0,-1.65,884.52,178.31,956.41,240.18,1.59,1.59,2.47,8.48,1.75,19.96,-1.25,23.0
000009.txt,Car,0.0,0,-1.5,601.96,177.01,659.15,229.51,1.61,1.66,3.2,0.7,1.76,23.88,-1.48,24.0
000009.txt,Car,0.0,2,1.75,600.14,177.09,624.65,193.31,1.44,1.61,3.66,0.24,1.84,66.37,1.76,25.0
000009.txt,Car,0.0,0,1.78,574.98,178.64,598.45,194.01,1.41,1.53,3.37,-2.19,1.96,68.25,1.75,26.0
